Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,Search_lat,Search_lng,lat,lon
159,Spiaggia di Rovigliano,Lungomare di Rovigliano,3.5,95,4073698222.0,1446710587.0,40.73698222,14.46710587
155,Spiaggia di Sant'Agata,Spiaggia di S. Agata Messina,4.5,57,38.24971,15.59121,3.824971e-07,1.559121e-07
51,spiaggia di Sovereto,Spiaggia di Sovereto,4.7,37,3891883338.0,1705012679.0,38.91883338,17.05012679
111,spiaggia di sturla,Spiaggia Sturla,3.8,1678,4439181987.0,8984821916.0,44.39181987,89.84821916
54,Spiaggia ecologica ex Nereo Noli,Bagni Tripodoro,4.2,224,4421638461.0,8415575624.0,44.21638461,84.15575624
158,Spiaggia libera - Braccio Levante Barletta,Spiaggia della Litoranea di Levante,4.1,73,4132015533.0,1629944086.0,41.32015533,16.29944086
66,Spiaggia libera di Igea Marina,Bagno Spiaggia Libera,4.2,281,441167876.0,1250289738.0,4.41167876,12.50289738
82,Spiaggia Libera di Punta Vagno,Passeggiata di Corso Italia,4.6,386,4439324932.0,8949779391.0,44.39324932,89.49779391
64,Spiaggia libera Marano - colonia Bolognese,Spiaggia Le Colonie,4.7,7,4402347862.0,1263465285.0,44.02347862,12.63465285
131,Spiaggia Lido La Duna,Lido La Duna Policoro,4.3,211,401770107.0,167088747.0,4.01770107,1.67088747
151,Spiaggia Lido San Giuliano di Rimini e zona darsena,Spiaggia libera di San Giuliano,3.9,26,4407638506.0,1256713629.0,44.07638506,12.56713629
147,SPIAGGIA  LUNGOMARE AMERIGO VESPUCCI LIDO DI CASTELFUSANO,Spiaggia libera Bianca- L’Amanusa,4.1,393,4170291379.0,1233860725.0,41.70291379,12.33860725
118,Spiaggia nel Parco delle Dune Costiere,Lido Morelli,4.1,3147,4081025258.0,1752622962.0,40.81025258,17.52622962
44,Spiaggia No Plastic Beach della contrada foggia,Bertolino Spiaggia Giache Bianche,4.6,814,37.55056,12.97142,3.755056e-07,1.297142e-07
104,Spiaggia Ombelico di Venere,Spiaggia - Ombelico di Venere,4.4,564,380295527.0,1358817977.0,3.80295527,13.58817977
145,Spiaggia Sabbie Nere Santa Severa,Sabbie Nere Santa Severa,4.5,11806,4201371519.0,1196492672.0,42.01371519,11.96492672
91,Spiaggia Salinelle,Spiaggia Salinelle,4.2,907,380202957.0,1393190002.0,3.80202957,13.93190002
74,Spiaggia Sa Pischeredda Scivu,Spiaggia di Scivu,4.7,2026,3948803885.0,8405849934.0,39.48803885,84.05849934
99,Strongoli marina,Lungomare Di Strongoli Marina,4.2,432,39.2538,17.10645,3.92538e-07,1.710645e-07
120,Tombolo della Feniglia,Feniglia,4.4,3158,4241862.0,1124465.0,0.04241862,0.01124465
169,Tordigliano,Spiaggia di Tordigliano,4.6,734,4062143061.0,1445689201.0,40.62143061,14.45689201
30,trabucco,Spiaggia libera Le Dune,4.0,1541,43.98257,10.13512,4.398257e-07,1.013512e-07
87,Vergine Maria,Spiaggia Vergine Maria,4.0,2494,3816625971.0,1336852026.0,38.16625971,13.36852026
141,Wild Beach,Spiaggia degli Sciali,3.7,126,41.58052,15.89431,4.158052e-07,1.5894310000000001e-07
